text,label,cleaned_text,label_encoded
"I haven't felt happy in months, maybe longer",1,i havent felt happy in months maybe longer,1
I cry almost every day and I don't know why,1,i cry almost every day and i dont know why,1
"Just completed a 5K run, feeling accomplished",0,just completed a k run feeling accomplished,0
Just had the most refreshing swim at the beach,0,just had the most refreshing swim at the beach,0
Had a wonderful time at the art gallery today,0,had a wonderful time at the art gallery today,0
Today i feel trapped in my own mind with no escape,1,today i feel trapped in my own mind with no escape,1
"Honestly, just adopted a puppy and he's bringing so much joy",0,honestly just adopted a puppy and hes bringing so much joy,0
Just adopted a puppy and he's bringing so much joy,0,just adopted a puppy and hes bringing so much joy,0
I'm constantly tired but can't seem to rest,1,im constantly tired but cant seem to rest,1
"Lately every day feels the same, gray and without purpose",1,lately every day feels the same gray and without purpose,1
I feel like a failure in every aspect of my life,1,i feel like a failure in every aspect of my life,1
Really i love cooking new recipes and sharing them with friends,0,really i love cooking new recipes and sharing them with friends,0
I'm enjoying learning to cook international cuisines,0,im enjoying learning to cook international cuisines,0
"Today i haven't felt happy in months, maybe longer",1,today i havent felt happy in months maybe longer,1
The autumn colors are making my walks so beautiful,0,the autumn colors are making my walks so beautiful,0
Really i feel confident about my upcoming presentation,0,really i feel confident about my upcoming presentation,0
"Honestly, spent quality time with friends over a delicious dinner",0,honestly spent quality time with friends over a delicious dinner,0
"I feel guilty about everything, even things I can't control",1,i feel guilty about everything even things i cant control,1
Today my self-esteem has hit rock bottom lately,1,today my selfesteem has hit rock bottom lately,1
"Lately everything feels hopeless, i don't see the point in trying",1,lately everything feels hopeless i dont see the point in trying,1
Lately i've lost interest in activities i used to enjoy,1,lately ive lost interest in activities i used to enjoy,1
"I feel numb, like I can't feel anything at all",1,i feel numb like i cant feel anything at all,1
"Honestly, i'm proud of how far i've come this year",0,honestly im proud of how far ive come this year,0
I can't remember the last time I genuinely laughed,1,i cant remember the last time i genuinely laughed,1
Today i've been having recurring nightmares about failing,1,today ive been having recurring nightmares about failing,1
"Today i feel guilty about everything, even things i can't control",1,today i feel guilty about everything even things i cant control,1
I feel like I'm drowning in sadness with no way out,1,i feel like im drowning in sadness with no way out,1
"Honestly, i'm thankful for the support of my loving family",0,honestly im thankful for the support of my loving family,0
"Honestly, enjoyed learning a new dance routine today",0,honestly enjoyed learning a new dance routine today,0
Lately my self-esteem has hit rock bottom lately,1,lately my selfesteem has hit rock bottom lately,1
Had an inspiring conversation with my mentor today,0,had an inspiring conversation with my mentor today,0
Really had a lovely picnic with the family at the park,0,really had a lovely picnic with the family at the park,0
I spend most of my time in bed staring at the ceiling,1,i spend most of my time in bed staring at the ceiling,1
Really i'm excited about starting my new project at work,0,really im excited about starting my new project at work,0
I can't stop thinking about all my failures,1,i cant stop thinking about all my failures,1
Enjoyed a peaceful walk by the river this evening,0,enjoyed a peaceful walk by the river this evening,0
Really i'm looking forward to the concert this friday,0,really im looking forward to the concert this friday,0
I feel like I'm slowly fading away from existence,1,i feel like im slowly fading away from existence,1
Just booked a vacation and can't wait to explore,0,just booked a vacation and cant wait to explore,0
Lately everything irritates me and i snap at people i love,1,lately everything irritates me and i snap at people i love,1
"Honestly, i'm making progress on my fitness goals every week",0,honestly im making progress on my fitness goals every week,0
I love the feeling of accomplishment after a good day,0,i love the feeling of accomplishment after a good day,0
"Honestly, feeling accomplished after finishing a challenging puzzle",0,honestly feeling accomplished after finishing a challenging puzzle,0
My self-esteem has hit rock bottom lately,1,my selfesteem has hit rock bottom lately,1
Today i can't stop thinking about all my failures,1,today i cant stop thinking about all my failures,1
I'm looking forward to the concert this Friday,0,im looking forward to the concert this friday,0
Lately i feel like the world would be better without me,1,lately i feel like the world would be better without me,1
I feel permanently broken and unfixable,1,i feel permanently broken and unfixable,1
Lately i'm constantly tired but can't seem to rest,1,lately im constantly tired but cant seem to rest,1
Had a wonderful morning jog in the park today,0,had a wonderful morning jog in the park today,0
Really spent the afternoon gardening and it was so relaxing,0,really spent the afternoon gardening and it was so relaxing,0
Really feeling grateful for the beautiful weather this weekend,0,really feeling grateful for the beautiful weather this weekend,0
"Honestly, i love cooking new recipes and sharing them with friends",0,honestly i love cooking new recipes and sharing them with friends,0
"Honestly, i'm looking forward to the concert this friday",0,honestly im looking forward to the concert this friday,0
Really my team won the match and we celebrated together,0,really my team won the match and we celebrated together,0
"Honestly, the sunset today was absolutely breathtaking",0,honestly the sunset today was absolutely breathtaking,0
Feeling blessed to have such supportive colleagues,0,feeling blessed to have such supportive colleagues,0
"Honestly, just booked a vacation and can't wait to explore",0,honestly just booked a vacation and cant wait to explore,0
I love cooking new recipes and sharing them with friends,0,i love cooking new recipes and sharing them with friends,0
"Today nothing matters anymore, life feels meaningless",1,today nothing matters anymore life feels meaningless,1
My garden is blooming beautifully this spring,0,my garden is blooming beautifully this spring,0
Today i've lost interest in activities i used to enjoy,1,today ive lost interest in activities i used to enjoy,1
"Today i feel so empty inside, nothing brings me joy anymore",1,today i feel so empty inside nothing brings me joy anymore,1
Completed my workout routine and feeling energized,0,completed my workout routine and feeling energized,0
I'm excited to try the new restaurant that just opened,0,im excited to try the new restaurant that just opened,0
Had a productive day at work and accomplished my goals,0,had a productive day at work and accomplished my goals,0
I feel at peace with where I am in life right now,0,i feel at peace with where i am in life right now,0
Had a lovely picnic with the family at the park,0,had a lovely picnic with the family at the park,0
I'm looking forward to celebrating my birthday,0,im looking forward to celebrating my birthday,0
Really completed my workout routine and feeling energized,0,really completed my workout routine and feeling energized,0
Lately i've been having recurring nightmares about failing,1,lately ive been having recurring nightmares about failing,1
Had a heartwarming reunion with college friends,0,had a heartwarming reunion with college friends,0
I feel like I'm watching life pass me by from the outside,1,i feel like im watching life pass me by from the outside,1
"Today everything feels hopeless, i don't see the point in trying",1,today everything feels hopeless i dont see the point in trying,1
I'm feeling motivated to learn something new this month,0,im feeling motivated to learn something new this month,0
My team won the match and we celebrated together,0,my team won the match and we celebrated together,0
"My energy is completely drained, I can barely get out of bed",1,my energy is completely drained i can barely get out of bed,1
I can't enjoy music or movies like I used to,1,i cant enjoy music or movies like i used to,1
Today i feel like the world would be better without me,1,today i feel like the world would be better without me,1
"Lately i feel numb, like i can't feel anything at all",1,lately i feel numb like i cant feel anything at all,1
I'm feeling creative and started painting again,0,im feeling creative and started painting again,0
My kids made me laugh so hard today with their jokes,0,my kids made me laugh so hard today with their jokes,0
Really had a great conversation with an old friend today,0,really had a great conversation with an old friend today,0
Really the sunset today was absolutely breathtaking,0,really the sunset today was absolutely breathtaking,0
"Today every day feels the same, gray and without purpose",1,today every day feels the same gray and without purpose,1
My chest feels heavy all the time like something is pressing down,1,my chest feels heavy all the time like something is pressing down,1
"I can't concentrate on anything, my mind feels foggy",1,i cant concentrate on anything my mind feels foggy,1
I feel crushed by the weight of everyday responsibilities,1,i feel crushed by the weight of everyday responsibilities,1
I've been having recurring nightmares about failing,1,ive been having recurring nightmares about failing,1
I've lost my appetite completely these past weeks,1,ive lost my appetite completely these past weeks,1
"Honestly, i enjoyed volunteering at the community center today",0,honestly i enjoyed volunteering at the community center today,0
"Today i've been having trouble eating, nothing tastes good",1,today ive been having trouble eating nothing tastes good,1
Lately i have no motivation to do anything productive,1,lately i have no motivation to do anything productive,1
I feel like I'm pretending to be okay when I'm not,1,i feel like im pretending to be okay when im not,1
"Lately nothing matters anymore, life feels meaningless",1,lately nothing matters anymore life feels meaningless,1
Really my kids made me laugh so hard today with their jokes,0,really my kids made me laugh so hard today with their jokes,0
Had a great conversation with an old friend today,0,had a great conversation with an old friend today,0
I feel like I'm suffocating under invisible pressure,1,i feel like im suffocating under invisible pressure,1
Today i keep cancelling plans because i just can't face people,1,today i keep cancelling plans because i just cant face people,1
Today i feel so alone even when surrounded by people,1,today i feel so alone even when surrounded by people,1
I appreciate the little things in life more each day,0,i appreciate the little things in life more each day,0
Lately i feel like i'm drowning in sadness with no way out,1,lately i feel like im drowning in sadness with no way out,1
I feel trapped in my own mind with no escape,1,i feel trapped in my own mind with no escape,1
"Honestly, i feel confident about my upcoming presentation",0,honestly i feel confident about my upcoming presentation,0
"Honestly, my morning meditation really helps me start the day right",0,honestly my morning meditation really helps me start the day right,0
Really the coffee this morning was absolutely perfect,0,really the coffee this morning was absolutely perfect,0
Today i cry almost every day and i don't know why,1,today i cry almost every day and i dont know why,1
"I feel so empty inside, nothing brings me joy anymore",1,i feel so empty inside nothing brings me joy anymore,1
"Everything feels hopeless, I don't see the point in trying",1,everything feels hopeless i dont see the point in trying,1
My morning meditation really helps me start the day right,0,my morning meditation really helps me start the day right,0
I don't recognize myself anymore in the mirror,1,i dont recognize myself anymore in the mirror,1
Feeling recharged after a relaxing weekend getaway,0,feeling recharged after a relaxing weekend getaway,0
I feel optimistic about the future and new possibilities,0,i feel optimistic about the future and new possibilities,0
"Today i can't concentrate on anything, my mind feels foggy",1,today i cant concentrate on anything my mind feels foggy,1
Lately i feel trapped in my own mind with no escape,1,lately i feel trapped in my own mind with no escape,1
I finally organized my workspace and it feels great,0,i finally organized my workspace and it feels great,0
I feel confident about my upcoming presentation,0,i feel confident about my upcoming presentation,0
Lately my anxiety is overwhelming and paralyzing me,1,lately my anxiety is overwhelming and paralyzing me,1
"Today i feel numb, like i can't feel anything at all",1,today i feel numb like i cant feel anything at all,1
The kindness of strangers always restores my faith,0,the kindness of strangers always restores my faith,0
I think about death more often than I should,1,i think about death more often than i should,1
Today i feel like i'm drowning in sadness with no way out,1,today i feel like im drowning in sadness with no way out,1
I'm excited about starting my new project at work,0,im excited about starting my new project at work,0
I feel like the world would be better without me,1,i feel like the world would be better without me,1
Had a fulfilling day helping at the food bank,0,had a fulfilling day helping at the food bank,0
Lately i feel like i'm just going through the motions of life,1,lately i feel like im just going through the motions of life,1
Really had a productive day at work and accomplished my goals,0,really had a productive day at work and accomplished my goals,0
I feel like nobody truly understands what I'm going through,1,i feel like nobody truly understands what im going through,1
"Every day feels the same, gray and without purpose",1,every day feels the same gray and without purpose,1
Really i'm proud of how far i've come this year,0,really im proud of how far ive come this year,0
Everything irritates me and I snap at people I love,1,everything irritates me and i snap at people i love,1
Lately i feel so alone even when surrounded by people,1,lately i feel so alone even when surrounded by people,1
I feel worthless and like a burden to everyone around me,1,i feel worthless and like a burden to everyone around me,1
"Today i can't sleep at night, my mind races with dark thoughts",1,today i cant sleep at night my mind races with dark thoughts,1
I avoid mirrors because I hate what I see,1,i avoid mirrors because i hate what i see,1
Today i'm constantly tired but can't seem to rest,1,today im constantly tired but cant seem to rest,1
Today i spend most of my time in bed staring at the ceiling,1,today i spend most of my time in bed staring at the ceiling,1
Spent quality time with friends over a delicious dinner,0,spent quality time with friends over a delicious dinner,0
"Lately i feel disconnected from everyone, even my closest friends",1,lately i feel disconnected from everyone even my closest friends,1
Today i feel worthless and like a burden to everyone around me,1,today i feel worthless and like a burden to everyone around me,1
Really i appreciate the little things in life more each day,0,really i appreciate the little things in life more each day,0
Really had a wonderful morning jog in the park today,0,really had a wonderful morning jog in the park today,0
I'm thankful for the support of my loving family,0,im thankful for the support of my loving family,0
"Honestly, i'm excited about starting my new project at work",0,honestly im excited about starting my new project at work,0
"Just finished reading an amazing book, highly recommend it",0,just finished reading an amazing book highly recommend it,0
I keep replaying painful memories over and over,1,i keep replaying painful memories over and over,1
Today i feel like i'm just going through the motions of life,1,today i feel like im just going through the motions of life,1
Every small task feels like climbing a mountain,1,every small task feels like climbing a mountain,1
"Lately i can't sleep at night, my mind races with dark thoughts",1,lately i cant sleep at night my mind races with dark thoughts,1
My anxiety is overwhelming and paralyzing me,1,my anxiety is overwhelming and paralyzing me,1
Today i feel like i'm watching life pass me by from the outside,1,today i feel like im watching life pass me by from the outside,1
"Honestly, had a productive day at work and accomplished my goals",0,honestly had a productive day at work and accomplished my goals,0
I enjoyed volunteering at the community center today,0,i enjoyed volunteering at the community center today,0
I can't find a reason to be optimistic about the future,1,i cant find a reason to be optimistic about the future,1
Really i'm thankful for the support of my loving family,0,really im thankful for the support of my loving family,0
I feel paralyzed by indecision about the smallest things,1,i feel paralyzed by indecision about the smallest things,1
I love spending Sunday mornings at the farmers market,0,i love spending sunday mornings at the farmers market,0
"Honestly, had a wonderful morning jog in the park today",0,honestly had a wonderful morning jog in the park today,0
I feel detached from reality like I'm in a fog,1,i feel detached from reality like im in a fog,1
"Lately i can't concentrate on anything, my mind feels foggy",1,lately i cant concentrate on anything my mind feels foggy,1
Really i'm making progress on my fitness goals every week,0,really im making progress on my fitness goals every week,0
I've lost interest in activities I used to enjoy,1,ive lost interest in activities i used to enjoy,1
My morning routine sets such a positive tone for the day,0,my morning routine sets such a positive tone for the day,0
I feel abandoned by everyone who once cared about me,1,i feel abandoned by everyone who once cared about me,1
Lately i cry almost every day and i don't know why,1,lately i cry almost every day and i dont know why,1
"Honestly, i appreciate the little things in life more each day",0,honestly i appreciate the little things in life more each day,0
Really spent quality time with friends over a delicious dinner,0,really spent quality time with friends over a delicious dinner,0
Really i enjoyed volunteering at the community center today,0,really i enjoyed volunteering at the community center today,0
I wake up dreading the day ahead every single morning,1,i wake up dreading the day ahead every single morning,1
Lately i keep cancelling plans because i just can't face people,1,lately i keep cancelling plans because i just cant face people,1
Feeling accomplished after finishing a challenging puzzle,0,feeling accomplished after finishing a challenging puzzle,0
I've been neglecting my personal hygiene and I don't care,1,ive been neglecting my personal hygiene and i dont care,1
"I feel disconnected from everyone, even my closest friends",1,i feel disconnected from everyone even my closest friends,1
Lately i spend most of my time in bed staring at the ceiling,1,lately i spend most of my time in bed staring at the ceiling,1
I'm inspired by the progress of my students,0,im inspired by the progress of my students,0
Spent the evening watching stars with my partner,0,spent the evening watching stars with my partner,0
I'm making progress on my fitness goals every week,0,im making progress on my fitness goals every week,0
"Honestly, had a great conversation with an old friend today",0,honestly had a great conversation with an old friend today,0
Really just booked a vacation and can't wait to explore,0,really just booked a vacation and cant wait to explore,0
The coffee this morning was absolutely perfect,0,the coffee this morning was absolutely perfect,0
"Nothing matters anymore, life feels meaningless",1,nothing matters anymore life feels meaningless,1
I feel so alone even when surrounded by people,1,i feel so alone even when surrounded by people,1
I feel like my life has no direction or meaning,1,i feel like my life has no direction or meaning,1
"Honestly, spent the afternoon gardening and it was so relaxing",0,honestly spent the afternoon gardening and it was so relaxing,0
"Lately my energy is completely drained, i can barely get out of bed",1,lately my energy is completely drained i can barely get out of bed,1
I feel like I'm just going through the motions of life,1,i feel like im just going through the motions of life,1
Today my anxiety is overwhelming and paralyzing me,1,today my anxiety is overwhelming and paralyzing me,1
Spent the afternoon gardening and it was so relaxing,0,spent the afternoon gardening and it was so relaxing,0
"Honestly, had a lovely picnic with the family at the park",0,honestly had a lovely picnic with the family at the park,0
"Today i feel disconnected from everyone, even my closest friends",1,today i feel disconnected from everyone even my closest friends,1
"Honestly, completed my workout routine and feeling energized",0,honestly completed my workout routine and feeling energized,0
Really feeling accomplished after finishing a challenging puzzle,0,really feeling accomplished after finishing a challenging puzzle,0
Feeling grateful for the beautiful weather this weekend,0,feeling grateful for the beautiful weather this weekend,0
I've given up on my goals and dreams completely,1,ive given up on my goals and dreams completely,1
Spent the day hiking and the views were incredible,0,spent the day hiking and the views were incredible,0
I can't stop the negative thoughts spiraling in my head,1,i cant stop the negative thoughts spiraling in my head,1
Really enjoyed a peaceful walk by the river this evening,0,really enjoyed a peaceful walk by the river this evening,0
Today everything irritates me and i snap at people i love,1,today everything irritates me and i snap at people i love,1
"Honestly, enjoyed a peaceful walk by the river this evening",0,honestly enjoyed a peaceful walk by the river this evening,0
"Honestly, just finished reading an amazing book, highly recommend it",0,honestly just finished reading an amazing book highly recommend it,0
Really enjoyed learning a new dance routine today,0,really enjoyed learning a new dance routine today,0
"Honestly, i'm feeling motivated to learn something new this month",0,honestly im feeling motivated to learn something new this month,0
"Lately i haven't felt happy in months, maybe longer",1,lately i havent felt happy in months maybe longer,1
I'm exhausted from trying to appear normal around others,1,im exhausted from trying to appear normal around others,1
I've been isolating myself from family and friends,1,ive been isolating myself from family and friends,1
Enjoyed learning a new dance routine today,0,enjoyed learning a new dance routine today,0
I keep cancelling plans because I just can't face people,1,i keep cancelling plans because i just cant face people,1
I feel constant dread about things that haven't happened,1,i feel constant dread about things that havent happened,1
"Honestly, just got promoted at work, hard work pays off",0,honestly just got promoted at work hard work pays off,0
Today i have no motivation to do anything productive,1,today i have no motivation to do anything productive,1
Really just adopted a puppy and he's bringing so much joy,0,really just adopted a puppy and hes bringing so much joy,0
"Honestly, feeling grateful for the beautiful weather this weekend",0,honestly feeling grateful for the beautiful weather this weekend,0
"Honestly, my kids made me laugh so hard today with their jokes",0,honestly my kids made me laugh so hard today with their jokes,0
Lately i feel worthless and like a burden to everyone around me,1,lately i feel worthless and like a burden to everyone around me,1
I've withdrawn from social media because it makes me feel worse,1,ive withdrawn from social media because it makes me feel worse,1
Lately i can't stop thinking about all my failures,1,lately i cant stop thinking about all my failures,1
"Honestly, my team won the match and we celebrated together",0,honestly my team won the match and we celebrated together,0
"I can't sleep at night, my mind races with dark thoughts",1,i cant sleep at night my mind races with dark thoughts,1
My body aches constantly and I have no energy,1,my body aches constantly and i have no energy,1
"Lately i've been having trouble eating, nothing tastes good",1,lately ive been having trouble eating nothing tastes good,1
"Today my energy is completely drained, i can barely get out of bed",1,today my energy is completely drained i can barely get out of bed,1
"Lately i feel guilty about everything, even things i can't control",1,lately i feel guilty about everything even things i cant control,1
I appreciate having meaningful work that I enjoy,0,i appreciate having meaningful work that i enjoy,0
I enjoy starting each day with a positive affirmation,0,i enjoy starting each day with a positive affirmation,0
Just finished redecorating my room and I love it,0,just finished redecorating my room and i love it,0
I'm proud of how far I've come this year,0,im proud of how far ive come this year,0
"Really just got promoted at work, hard work pays off",0,really just got promoted at work hard work pays off,0
The sunset today was absolutely breathtaking,0,the sunset today was absolutely breathtaking,0
Really my morning meditation really helps me start the day right,0,really my morning meditation really helps me start the day right,0
Really i'm feeling motivated to learn something new this month,0,really im feeling motivated to learn something new this month,0
"Lately i feel so empty inside, nothing brings me joy anymore",1,lately i feel so empty inside nothing brings me joy anymore,1
"Honestly, the coffee this morning was absolutely perfect",0,honestly the coffee this morning was absolutely perfect,0
I have no motivation to do anything productive,1,i have no motivation to do anything productive,1
"Really just finished reading an amazing book, highly recommend it",0,really just finished reading an amazing book highly recommend it,0
"Just got promoted at work, hard work pays off",0,just got promoted at work hard work pays off,0
I'm grateful for the opportunities coming my way,0,im grateful for the opportunities coming my way,0
"I've been having trouble eating, nothing tastes good",1,ive been having trouble eating nothing tastes good,1
I'm grateful for good health and happiness,0,im grateful for good health and happiness,0
Lately i feel like i'm watching life pass me by from the outside,1,lately i feel like im watching life pass me by from the outside,1
Just learned to play a new song on the guitar,0,just learned to play a new song on the guitar,0
